message	label
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net	spam
You will be in the place of that man	ham
Welp apparently he retired	ham
haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons	ham
Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.	ham
K I'll call you when I'm close	ham
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...	ham
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...	ham
Watching tv now. I got new job :)	ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires	spam
Great! I have to run now so ttyl!	ham
Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*	ham
ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG	ham
if you text on your way to cup stop that should work. And that should be BUS	ham
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go	ham
Good morning, im suffering from fever and dysentry ..will not be able to come to office today.	ham
Tell me pa. How is pain de.	ham
Got it. Seventeen pounds for seven hundred ml ÛÒ hope ok.	ham
I know complain num only..bettr directly go to bsnl offc nd apply for it..	ham
Kate jackson rec center before 7ish, right?	ham
K..k.:)congratulation ..	ham
Whatsup there. Dont u want to sleep	ham
FROM 88066 LOST å£12 HELP	spam
Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...	ham
The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.	ham
Ok...	ham
Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!	ham
Ok... C ya...	ham
I'm in class. Will holla later	ham
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase	spam
The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel	ham
Oh baby of the house. How come you dont have any new pictures on facebook	ham
Thx. All will be well in a few months	ham
Gud mrng dear have a nice day	ham
Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.	ham
Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...	ham
Yes princess! I want to catch you with my big strong hands...	ham
Wait, do you know if wesleys in town? I bet she does hella drugs!	ham
No problem with the renewal. I.ll do it right away but i dont know his details.	ham
"What part of \don't initiate\"" don't you understand"""	ham
MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night	ham
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?	ham
URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU	spam
The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt;#&gt;  worth tonight if possible	ham
I am waiting machan. Call me once you free.	ham
Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)	ham
I AM AT THE GAS STATION. GO THERE.	ham
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...	ham
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow	ham
Sorry I missed you babe. I was up late and slept in. I hope you enjoy your driving lesson, boytoy. I miss you too ... *teasing kiss*	ham
Ok... Thanx... Gd nite 2 Ì_ too...	ham
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info	spam
Nothing really, just making sure everybody's up to speed	ham
I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...	ham
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am	ham
Its good, we'll find a way	ham
IåÕm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.	ham
Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around	ham
Que pases un buen tiempo or something like that	ham
Watching telugu movie..wat abt u?	ham
Mm you ask him to come its enough :-)	ham
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.	spam
Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?	ham
Otherwise had part time job na-tuition..	ham
Good words.... But words may leave u in dismay many times.	ham
Oooh bed ridden ey? What are YOU thinking of?	ham
4 oclock at mine. Just to bash out a flat plan.	ham
GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@å£1.50rcvd	spam
A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;	ham
Im good! I have been thinking about you...	ham
One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..	ham
Dunno he jus say go lido. Same time 930.	ham
"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!"""	spam
Have you always been saying welp?	ham
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50	spam
Gud mrng dear hav a nice day	ham
I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.	ham
FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT	ham
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only	spam
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone	spam
Cool. Do you like swimming? I have a pool and jacuzzi at my house.	ham
Of course. I guess god's just got me on hold right now.	ham
Oh just getting even with u.... u?	ham
Whos this am in class:-)	ham
Loosu go to hospital. De dont let it careless.	ham
K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure	ham
Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... 	ham
I'm very happy for you babe ! Woo hoo party on dude!	ham
Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week	ham
Tell them no need to investigate about me anywhere.	ham
Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or å£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+	spam
You call him now ok i said call him	ham
URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM	spam
Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.	ham
Wife.how she knew the time of murder exactly	ham
U having lunch alone? I now so bored...	ham
True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.	ham
i thought we were doing a king of the hill thing there.	ham
I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. 	ham
Studying. But i.ll be free next weekend.	ham
I love ya too but try and budget your money better babe. Gary would freak on me if he knew	ham
Ok...	ham
Genius what's up. How your brother. Pls send his number to my skype.	ham
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p	spam
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""	ham
Is fujitsu s series lifebook good?	ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8	ham
Haha yeah, 2 oz is kind of a shitload	ham
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..	ham
Arun can u transfr me d amt	ham
Prabha..i'm soryda..realy..frm heart i'm sory	ham
Its a part of checking IQ	ham
Nothing spl..wat abt u and whr ru?	ham
Yeah there's quite a bit left, I'll swing by tomorrow when I get up	ham
Looks like you found something to do other than smoke, great job!	ham
Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?	ham
I had askd u a question some hours before. Its answer	ham
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app	spam
Dont pick up d call when something important is There to tell. Hrishi	ham
Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX	spam
Missing you too.pray inshah allah	ham
HELLO PEACH! MY CAKE TASTS LUSH!	ham
Guessin you ain't gonna be here before 9?	ham
So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already	ham
Probably not, still going over some stuff here	ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon	ham
Dude ive been seeing a lotta corvettes lately	ham
"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""	ham
Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm	spam
COME BACK TO TAMPA FFFFUUUUUUU	ham
I can do that! I want to please you both inside and outside the bedroom...	ham
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!	ham
Oh is it? Send me the address	ham
Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.	ham
U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...	ham
Was the farm open?	ham
Speaking of does he have any cash yet?	ham
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..	ham
Lmao ok I wont be needing u to do my hair anymore.	ham
My uncles in Atlanta. Wish you guys a great semester.	ham
Ultimately tor motive tui achieve korli.	ham
\CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R	ham
Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning	ham
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906	spam
I emailed yifeng my part oredi.. Can Ì_ get it fr him..	ham
No objection. My bf not coming.	ham
Just come home. I don't want u to be miserable	ham
Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm	spam
"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born"	ham
If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy	spam
Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.	ham
Yeah. I got a list with only u and Joanna if I'm feeling really anti social	ham
see you then, we're all christmassy here!	ham
K I'll head out in a few mins, see you there	ham
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply	spam
I guess it is useless calling u 4 something important.	ham
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you	ham
I cant pick the phone right now. Pls send a message	ham
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!"""	spam
Thanks for looking out for me. I really appreciate.	ham
Going to join tomorrow.	ham
Good Luck! Draw takes place 28th Feb 06. Good Luck! For removal send STOP to 87239 customer services 08708034412	spam
He says hi and to get your ass back to south tampa (preferably at a kegger)	ham
The wine is flowing and i'm i have nevering..	ham
Cant think of anyone with * spare room off * top of my head	ham
HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call	spam
What happened to our yo date?	ham
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901	spam
What happen to her tell the truth	ham
Nothing, i got msg frm tht unknown no..	ham
You could have seen me..i did't recognise you Face.:)	ham
SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO	spam
Did he just say somebody is named tampa	ham
Yo theres no class tmrw right?	ham
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm	spam
Yes. that will be fine. Love you. Be safe.	ham
Keep my payasam there if rinu brings	ham
What you need. You have a person to give na.	ham
Aiyah u did ok already lar. E nydc at wheellock?	ham
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info	spam
Not from this campus. Are you in the library?	ham
Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..	ham
Surly ill give it to you:-) while coming to review.	ham
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts	spam
Pls send me a comprehensive mail about who i'm paying, when and how much.	ham
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270	spam
Me not waking up until 4 in the afternoon, sup	ham
Let me know when you've got the money so carlos can make the call	ham
You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 	spam
K:)i will give my kvb acc details:)	ham
Ok. How many should i buy.	ham
No calls..messages..missed calls	ham
Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem	ham
Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062	spam
S now only i took tablets . Reaction morning only.	ham
My sister got placed in birla soft da:-)	ham
"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\"""""	ham
Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.	ham
Can not use foreign stamps in this country. Good lecture .	ham
Mom wants to know where you at	ham
Early bird! Any purchases yet?	ham
Bring it if you got it	ham
Okie...	ham
Hiya, had a good day? Have you spoken to since the weekend?	ham
Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...	ham
OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx	ham
Try to do something dear. You read something for exams	ham
K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas	ham
What???? Hello wats talks email address?	ham
I'm reaching home in 5 min.	ham
I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?	ham
I'm okay. Chasing the dream. What's good. What are you doing next.	ham
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630	ham
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;	ham
ELLO BABE U OK?	ham
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..	ham
I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.	ham
I'm home. Doc gave me pain meds says everything is fine.	ham
U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..	ham
Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'	spam
Yeah, give me a call if you've got a minute	ham
Where are you lover ? I need you ...	ham
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|	ham
I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.	ham
Please don't text me anymore. I have nothing else to say.	ham
My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.	ham
Goodmorning, today i am late for  &lt;DECIMAL&gt; min.	ham
Hi. Hope you had a good day. Have a better night.	ham
What to think no one saying clearly. Ok leave no need to ask her. I will go if she come or not	ham
Hmm well, night night 	ham
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117	spam
It's justbeen overa week since we broke up and already our brains are going to mush!	ham
I dont thnk its a wrong calling between us	ham
[Û_] anyway, many good evenings to u! s	ham
Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time	ham
Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=	spam
I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.	ham
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)	ham
Are you still playing with gautham?	ham
So no messages. Had food?	ham
Is that what time you want me to come?	ham
K..give back my thanks.	ham
England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+	spam
Enjoy ur life. . Good night	ham
Have a good evening! Ttyl	ham
I have to take exam with march 3	ham
Aiyah ok wat as long as got improve can already wat...	ham
S:-)if we have one good partnership going we will take lead:)	ham
did u get that message	ham
U can call now...	ham
Tell them u have a headache and just want to use 1 hour of sick time.	ham
Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL	ham
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.	ham
What time. IÛ÷m out until prob 3 or so	ham
"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\"""""	ham
As usual..iam fine, happy &amp; doing well..:)	ham
Nope watching tv at home... Not going out. V bored...	ham
PS U no ur a grown up now right?	ham
K, wat s tht incident?	ham
Are u awake? Is there snow there?	ham
She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance	ham
You intrepid duo you! Have a great time and see you both soon. 	ham
Am in gobi arts college	ham
Your credits have been topped up for http://www.bubbletext.com Your renewal Pin is tgxxrz	spam
Do I? I thought I put it back in the box	ham
I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob	ham
Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com	ham
Easy ah?sen got selected means its good..	ham
I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that	ham
K.k.how is your business now?	ham
Probably earlier than that if the station's where I think it is	ham
Sorry,in meeting I'll call later	ham
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min	spam
I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished	ham
Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022	spam
Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts	ham
"I'm not smoking while people use \wylie smokes too much\"" to justify ruining my shit"""	ham
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow	spam
Sounds great! Are you home now?	ham
K.then any other special?	ham
 what number do u live at? Is it 11?	ham
"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\"""""	ham
Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week	spam
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas	ham
No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?	ham
Did u got that persons story	ham
Yeah we do totes. When u wanna?	ham
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..	ham
If I was I wasn't paying attention	ham
Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*	ham
Then u drive lor.	ham
Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...	ham
Y dun cut too short leh. U dun like ah? She failed. She's quite sad.	ham
Shopping lor. Them raining mah hard 2 leave orchard.	ham
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:	ham
Ok. So april. Cant wait	ham
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!	ham
Yes, my reg is  Ciao!	ham
This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm	spam
I told your number to gautham..	ham
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 	spam
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...	ham
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.	ham
Do have a nice day today. I love you so dearly.	ham
Not a drop in the tank	ham
Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop	spam
Oh k :)why you got job then whats up?	ham
Indeed and by the way it was either or - not both !	ham
Sorry, I'll call later ok bye	ham
Hi Harish's rent has been transfred to ur Acnt.	ham
Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm	spam
Do you hide anythiing or keeping distance from me	ham
I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...	ham
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123"""	spam
hanks lotsly!	ham
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99	spam
Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much	ham
Yup	ham
Lol they don't know about my awesome phone. I could click delete right now if I want.	ham
No current and food here. I am alone also	ham
You got job in wipro:)you will get every thing in life in 2 or 3 years.	ham
I will be gentle princess! We will make sweet gentle love...	ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8	ham
Yay! You better not have told that to 5 other girls either.	ham
Esplanade lor. Where else...	ham
Thanks for this hope you had a good day today	ham
Hmmm.but you should give it on one day..	ham
I was about to do it when i texted. I finished a long time ago and showered and er'ything!	ham
I enjoy watching and playing football and basketball. Anything outdoors. And you?	ham
Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX	spam
Good evening! this is roger. How are you?	ham
Ok. No wahala. Just remember that a friend in need ...	ham
I accidentally brought em home in the box	ham
Aight will do, thanks again for comin out	ham
Hey tmr maybe can meet you at yck	ham
I'm not. She lip synced with shangela.	ham
Pls she needs to dat slowly or she will vomit more.	ham
I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?	ham
Hi :)finally i completed the course:)	ham
When/where do I pick you up	ham
Yes its possible but dint try. Pls dont tell to any one k	ham
Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.	ham
"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""	ham
Wif my family booking tour package.	ham
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.	ham
Aight sorry I take ten years to shower. What's the plan?	ham
Ok then u tell me wat time u coming later lor.	ham
I anything lor.	ham
Back in brum! Thanks for putting us up and keeping us all and happy. See you soon 	ham
Or just do that 6times	ham
Happy birthday... May all ur dreams come true...	ham
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford	ham
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO 	ham
Ya it came a while ago	ham
Awesome, text me when you're restocked	ham
Badrith is only for chennai:)i will surely pick for us:)no competition for him.	ham
Yup. Thk of u oso boring wat.	ham
Wat uniform? In where get?	ham
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.	ham
Sorry, I'll call later	ham
Anytime...	ham
Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.	ham
FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts	spam
Even if he my friend he is a priest call him now	ham
No probably  &lt;#&gt; %.	ham
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|	ham
Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see	ham
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...	ham
Oops I did have it,  &lt;#&gt; ?	ham
Im done. Just studyn in library	ham
No problem baby. Is this is a good time to talk? I called and left a message.	ham
Yo dude guess who just got arrested the other day	ham
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...	ham
